9.66;[0, 1];[0];[0, 1];[0, 4]
9.66;[0, 1];[0, 1];[0];[0, 4]
9.59;[];[0, 1];[0, 2];[0, 3]
9.59;[0];[0];[0, 1, 2];[3]
9.59;[0];[0];[0, 2];[0, 1, 3]
9.59;[0];[0];[0, 3];[1, 2]
9.59;[0];[0, 1];[0, 3];[2]
9.59;[0];[0, 2];[1];[0, 3]
9.59;[0];[0, 2];[0];[0, 1, 3]
9.59;[0];[0, 2];[0, 3];[1]
9.59;[0, 1];[];[0, 2];[0, 3]
9.59;[0, 1];[0];[0, 3];[2]
9.59;[0, 1];[0, 2];[];[0, 3]
9.59;[0, 1];[0, 2];[0, 3];[]
9.540000000000001;[0];[0];[0, 2];[0, 2, 2]
9.540000000000001;[0];[0, 2];[2];[2]
9.540000000000001;[0];[0, 2];[0];[0, 2, 2]
9.33;[];[0];[0, 1, 1];[0, 1, 2]
9.33;[];[0];[0, 2];[0, 1, 1, 1]
9.33;[];[0, 1];[0, 1];[0, 1, 2]
9.33;[];[0, 1];[0, 1, 1];[2]
9.33;[];[0, 1];[0, 2];[1, 1]
9.33;[0];[0];[0, 1, 1, 1];[2]
9.33;[0];[0];[0, 1, 2];[1, 1]
9.33;[0];[0, 1];[0, 1, 2];[1]
9.33;[0];[0, 1, 1];[];[0, 1, 2]
9.33;[0];[0, 1, 1];[1];[2]
9.33;[0];[0, 1, 1];[2];[1]
9.33;[0];[0, 1, 1];[0, 1, 2];[]
9.33;[0];[0, 2];[];[0, 1, 1, 1]
9.33;[0];[0, 2];[1];[1, 1]
