20.169999999999998;[0];[0, 1, 1];[0, 3];[1, 1, 1];[0, 4]
20.169999999999998;[0];[0, 1, 1];[0, 3];[0, 4];[1, 1, 1]
20.169999999999998;[0, 1];[0];[0, 1, 1, 1];[0, 1, 3];[4]
20.169999999999998;[0, 1];[0];[0, 1, 1, 1];[0, 4];[1, 3]
20.169999999999998;[0, 1];[0];[0, 3];[0, 1, 1, 1, 1];[4]
20.169999999999998;[0, 1];[0];[0, 3];[0, 4];[1, 1, 1, 1]
20.169999999999998;[0, 1];[0, 1];[0, 1, 1];[0, 1, 3];[4]
20.169999999999998;[0, 1];[0, 1];[0, 1, 1];[0, 4];[1, 3]
20.169999999999998;[0, 1];[0, 1];[0, 1, 1, 1];[3];[0, 4]
20.169999999999998;[0, 1];[0, 1];[0, 1, 1, 1];[0, 4];[3]
20.169999999999998;[0, 1];[0, 1];[0, 3];[1, 1, 1];[0, 4]
20.169999999999998;[0, 1];[0, 1];[0, 3];[0, 4];[1, 1, 1]
20.169999999999998;[0, 1];[0, 1, 1];[1, 1];[0, 3];[0, 4]
20.169999999999998;[0, 1];[0, 1, 1];[0, 1];[0, 1, 3];[4]
20.169999999999998;[0, 1];[0, 1, 1];[0, 1];[0, 4];[1, 3]
20.169999999999998;[0, 1];[0, 1, 1];[0, 1, 1];[0, 4];[3]
20.169999999999998;[0, 1];[0, 1, 1];[0, 3];[1, 1];[0, 4]
20.169999999999998;[0, 1];[0, 1, 1];[0, 3];[0, 4];[1, 1]
20.12;[0];[0, 1, 1];[0, 1, 2];[1, 2];[0, 4]
20.12;[0];[0, 1, 1];[0, 1, 2];[0, 4];[1, 2]
20.12;[0];[0, 2];[0, 1, 1, 1];[1, 2];[0, 4]
20.12;[0];[0, 2];[0, 1, 1, 1];[0, 4];[1, 2]
20.12;[0];[0, 2];[0, 1, 2];[1, 1, 1];[0, 4]
20.12;[0];[0, 2];[0, 1, 2];[0, 4];[1, 1, 1]
20.12;[0, 1];[0, 1];[0, 1, 2];[1, 2];[0, 4]
20.12;[0, 1];[0, 1];[0, 1, 2];[0, 4];[1, 2]
20.12;[0, 1];[0, 1, 1];[2];[0, 1, 2];[0, 4]
20.12;[0, 1];[0, 1, 1];[0, 1, 2];[2];[0, 4]
20.12;[0, 1];[0, 1, 1];[0, 1, 2];[0, 4];[2]
20.12;[0, 1];[0, 1, 1];[0, 2];[0, 4];[1, 2]
20.12;[0, 1];[0, 2];[1, 1];[0, 1, 2];[0, 4]
20.12;[0, 1];[0, 2];[0, 1, 1];[0, 4];[1, 2]
20.12;[0, 1];[0, 2];[0, 1, 2];[1, 1];[0, 4]
20.12;[0, 1];[0, 2];[0, 1, 2];[0, 4];[1, 1]
20.119999999999997;[0];[0, 1];[0, 1, 1, 1];[0, 2, 2];[4]
20.119999999999997;[0];[0, 1];[0, 1, 1, 1];[0, 4];[2, 2]
20.119999999999997;[0];[0, 1];[0, 1, 2];[0, 1, 1, 2];[4]
20.119999999999997;[0];[0, 1];[0, 1, 2];[0, 4];[1, 1, 2]
20.119999999999997;[0];[0, 1, 1];[0, 1, 1];[0, 2, 2];[4]
20.119999999999997;[0];[0, 1, 1];[0, 1, 1];[0, 4];[2, 2]
20.119999999999997;[0];[0, 1, 1];[0, 2];[0, 1, 1, 2];[4]
20.119999999999997;[0];[0, 1, 1];[0, 2];[0, 4];[1, 1, 2]
20.119999999999997;[0];[0, 2];[0, 1, 1];[0, 1, 1, 2];[4]
20.119999999999997;[0];[0, 2];[0, 1, 1];[0, 4];[1, 1, 2]
20.119999999999997;[0];[0, 2];[0, 2];[0, 1, 1, 1, 1];[4]
20.119999999999997;[0];[0, 2];[0, 2];[0, 4];[1, 1, 1, 1]
20.119999999999997;[0, 1];[0];[0, 1, 1, 1];[0, 2, 2];[4]
20.119999999999997;[0, 1];[0];[0, 1, 1, 1];[0, 4];[2, 2]
20.119999999999997;[0, 1];[0];[0, 1, 2];[0, 1, 1, 2];[4]
20.119999999999997;[0, 1];[0];[0, 1, 2];[0, 4];[1, 1, 2]
20.119999999999997;[0, 1];[0, 1];[0, 1, 1];[0, 2, 2];[4]
20.119999999999997;[0, 1];[0, 1];[0, 1, 1];[0, 4];[2, 2]
